,character,harry,ron,hermione,portraits,minerva,dumbledore,quirrell,percy,wood,flitwick,students,malfoy,spells
0,harry,1.0,7.14285714286,5.75,2.0,0,0,0,0,12.8333333333,15.0,0,0,0
1,ron,7.46153846154,2.0,6.33333333333,2.0,0,0,0,0,0,0,0,34.0,2.0
2,hermione,6.5,8.0,0,0,38.5,0,0,0,0,0,0,0,2.0
3,portraits,0,0,0,0,0,0,0,0,0,0,0,0,0
4,minerva,26.5,26.5,20.0,0,0,0,0,0,0,0,0,0,0
5,dumbledore,0,0,0,0,0,0,0,0,0,0,9.0,0,0
6,quirrell,0,0,0,0,0,9.0,0,0,0,0,0,0,0
7,percy,0,0,0,0,0,0,0,0,0,0,32.0,0,0
8,wood,35.0769230769,0,0,0,0,0,0,0,0,0,0,0,0
9,flitwick,10.0,5.0,3.0,0,0,0,0,0,0,0,27.0,4.5,0
10,students,0,0,0,0,0,0,0,0,0,0,0,0,0
11,malfoy,15.0,26.0,0,0,0,0,0,0,0,5.0,0,0,0
12,spells,0,0,0,0,0,0,0,0,0,0,0,0,0
