,character,harry,ron,hermione,commentator,minerva,hagrid,neville,dean,students,wood,teams,hooch,fred_george,snape,filch,seamus
0,harry,0,19.6666666667,19.3333333333,0,0,9.6,0,0,4.0,0,0,0,0,10.0,0,2.0
1,ron,6.25,3.0,11.6666666667,0,0,10.0,4.0,5.5,0,0,0,0,0,0,0,0
2,hermione,8.25,4.75,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0
3,commentator,0,0,0,0,2.0,0,0,0,49.8333333333,0,0,0,0,0,0,0
4,minerva,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
5,hagrid,16.8,17.0,25.25,0,0,0,0,0,5.0,0,0,0,0,0,0,21.0
6,neville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,dean,0,16.0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0
8,students,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
9,wood,22.0,0,0,0,0,0,0,0,0,0,7.75,0,4.0,0,0,0
10,teams,0,0,0,0,0,0,0,0,0,2.0,8.0,0,0,0,0,0
11,hooch,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0
12,fred_george,8.5,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0
13,snape,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0
14,filch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,seamus,16.0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0
