,character,harry,ron,hermione,dumbledore,filch,snape,fred_george,percy,minerva,hagrid,prince,draco,students
0,harry,3.25,7.22727272727,0,7.28571428571,0,0,0,0,0,27.5,1.0,0,0
1,ron,11.3333333333,0,11.0,0,0,0,3.0,0,0,6.5,0,0,0
2,hermione,18.5,14.3333333333,0,0,0,0,0,0,0,6.5,0,0,0
3,dumbledore,29.6,0,0,0,0,0,0,0,0,0,0,0,0
4,filch,0,0,0,0,0,24.0,0,0,0,0,0,0,0
5,snape,0,8.5,0,0,11.0,0,0,0,0,11.0,0,0,0
6,fred_george,8.66666666667,13.4,0,0,0,0,0,15.5,0,0,0,0,0
7,percy,4.0,4.0,0,0,0,0,3.5,0,0,0,0,0,0
8,minerva,0,0,0,0,0,0,0,0,0,13.0,0,0,0
9,hagrid,12.25,13.0,14.0,0,0,10.0,0,0,0,0,0,0,0.0
10,prince,7.0,0,0,0,0,0,0,0,0,0,0,0,0
11,draco,0,43.0,0,0,0,0,0,0,0,0,0,0,0
12,students,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0
