,character,harry,ron,hermione,snape,quirrell,wood,teams,fred_george,neville,draco,students,dumbledore
0,harry,0,31.5714285714,27.875,0,0,0,0,1.0,20.0,0,0,0
1,ron,18.7142857143,0,7.375,0,0,0,0,0,17.0,7.0,0,0
2,hermione,11.5454545455,13.625,4.5,0,0,0,0,0,4.0,0,0,0
3,snape,0,0,0,0,12.6666666667,0,0,0,0,0,0,0
4,quirrell,0,0,0,5.75,0,0,0,0,0,0,0,0
5,wood,29.0,0,0,0,0,0,28.0,0,0,0,0,0
6,teams,0,0,0,0,0,0,0,0,0,0,0,0
7,fred_george,0,0,0,0,0,19.0,11.0,0,0,0,0,0
8,neville,17.0,18.0,11.5,0,0,0,0,0,0,6.0,0,0
9,draco,0,7.66666666667,0,0,0,0,0,0,12.5,0,24.0,0
10,students,0,0,0,0,0,0,0,0,0,0,0,0
11,dumbledore,16.0,0,0,0,0,0,0,0,0,0,0,0
