,character,harry,ron,hermione,draco,neville,hagrid,firenze,ronan,bane,minerva,wood,students,filch
0,harry,0,38.5,39.0,1.0,0,6.25,11.0,1.0,0,1.5,0,0,0
1,ron,12.25,0,22.5,0,0,0,0,0,0,0,0,0,0
2,hermione,17.4,13.0,0,0,0,6.0,0,1.0,0,2.0,0,0,0
3,draco,0,0,0,0,0,11.75,0,0,0,0,0,0,19.0
4,neville,26.0,0,0,0,0,0,0,0,0,0,0,0,0
5,hagrid,26.0,0,27.4285714286,34.3333333333,39.6666666667,0,0,13.1428571429,16.0,0,0,0,18.0
6,firenze,28.5,0,0,0,0,0,0,0,31.5,0,0,0,0
7,ronan,9.0,0,9.0,0,0,10.0,0,4.0,10.0,0,0,0,0
8,bane,0,0,0,0,0,6.0,28.3333333333,34.0,0,0,0,0,0
9,minerva,21.1111111111,0,23.1428571429,0,14.0,0,0,0,0,0,0,0,0
10,wood,20.0,0,0,0,0,0,0,0,0,0,0,0,0
11,students,6.0,0,0,0,0,0,0,0,0,0,0,0,0
12,filch,43.0,0,43.0,34.3333333333,43.0,12.5,0,0,0,0,0,0,0
