,character,harry,ron,hermione,hagrid,minerva,snape,neville,peeves,spells,chess
0,harry,3.0,19.9411764706,17.0425531915,17.3333333333,7.16666666667,2.0,5.66666666667,11.0,0,0
1,ron,10.3888888889,0,10.7037037037,2.0,0,0,9.0,0,0,0
2,hermione,11.0810810811,6.84210526316,0,0,6.0,0,8.0,0,2.0,0
3,hagrid,34.6666666667,19.0,19.0,0,0,0,0,0,0,0
4,minerva,13.5,17.1666666667,14.6,0,0,0,0,0,0,0
5,snape,14.75,13.0,13.0,0,0,0,0,0,0,0
6,neville,8.25,11.8333333333,8.25,0,0,0,0,0,0,0
7,peeves,22.5,0,0,0,0,0,0,15.0,0,0
8,spells,0,0,0,0,0,0,0,0,0,0
9,chess,0,0,0,0,0,0,0,0,0,0
