,character,harry,ron,hermione,quirrell,voldemort,dumbledore,students,pomfrey,hagrid,mrs_weasley,ginny,vernon
0,harry,0,23.5714285714,30.0,8.55555555556,1.0,9.77272727273,0,7.4,27.5,10.0,0,0
1,ron,15.1428571429,0,15.0,0,0,0,0,0,0,0,0,0
2,hermione,17.8,15.0,0,0,0,0,0,0,0,0,0,0
3,quirrell,33.6470588235,0,0,13.0,9.0,0,0,0,0,0,0,0
4,voldemort,38.0,0,0,5.28571428571,0,0,0,0,0,0,0,0
5,dumbledore,35.5,0,0,0,0,0,34.1428571429,0,0,0,0,0
6,students,2.5,0,0,0,0,0,13.0,0,0,0,0,0
7,pomfrey,9.66666666667,7.0,7.0,0,0,0,0,0,0,0,0,0
8,hagrid,23.8,0,0,0,0,0,0,0,0,0,0,0
9,mrs_weasley,3.5,0,0,0,0,0,0,0,0,0,8.0,5.0
10,ginny,0,0,0,0,0,0,0,0,0,7.5,0,0
11,vernon,7.5,0,0,0,0,0,0,0,0,0,0,0
