,character,harry,ron,hermione,fred_george,neville,portraits,filch,norris,students,minerva,draco,hooch,parvati,pansy,flitwick,wood,peeves,school,spells
0,harry,1.0,7.41666666667,6.28571428571,0,5.85714285714,7.0,0,0,0,2.0,9.2,0,0,0,0,0,9.0,0,0
1,ron,17.6363636364,2.0,9.5,0,17.5,0,0,0,0,2.0,9.0,0,0,0,0,0,5.0,0,0
2,hermione,16.5833333333,15.8181818182,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3,fred_george,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,neville,15.6666666667,22.0,22.0,0,0,0,0,0,30.0,5.0,0,0,0,0,0,0,0,0,0
5,portraits,7.0,7.0,7.0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,filch,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,7.33333333333,0,0
7,norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,students,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,minerva,7.6,4.0,0,0,0,0,0,0,3.0,0,0,0,4.0,0,10.0,14.0,2.0,0,0
10,draco,11.8571428571,14.0,0,0,0,0,0,0,8.5,2.0,0,0,0,0,0,0,0,0,0
11,hooch,0,0,0,0,5.66666666667,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0
12,parvati,0,0,0,0,0,0,0,0,0,5.0,3.0,0,0,0,0,0,0,0,0
13,pansy,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0
14,flitwick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,wood,6.0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0
16,peeves,13.0,14.0,14.0,0,14.0,0,7.33333333333,0,0,0,0,0,0,0,0,0,0,12.0,0
17,school,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
18,spells,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
