,harry,ron,hermione,portraits,minerva,dumbledore,quirrell,percy,wood,flitwick,students,malfoy,spells
harry,1,14,4,1,0,0,0,0,6,1,0,0,0
ron,13,1,3,1,0,0,0,0,0,0,0,1,1
hermione,2,2,0,0,2,0,0,0,0,0,0,0,1
portraits,0,0,0,0,0,0,0,0,0,0,0,0,0
minerva,2,2,3,0,0,0,0,0,0,0,0,0,0
dumbledore,0,0,0,0,0,0,0,0,0,0,1,0,0
quirrell,0,0,0,0,0,1,0,0,0,0,0,0,0
percy,0,0,0,0,0,0,0,0,0,0,1,0,0
wood,13,0,0,0,0,0,0,0,0,0,0,0,0
flitwick,2,1,1,0,0,0,0,0,0,0,2,2,0
students,0,0,0,0,0,0,0,0,0,0,0,0,0
malfoy,1,1,0,0,0,0,0,0,0,1,0,0,0
spells,0,0,0,0,0,0,0,0,0,0,0,0,0
