,harry,ron,hermione,commentator,minerva,hagrid,neville,dean,students,wood,teams,hooch,fred_george,snape,filch,seamus
harry,0,3,3,0,0,5,0,0,1,0,0,0,0,1,0,1
ron,4,1,3,0,0,3,1,2,0,0,0,0,0,0,0,0
hermione,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
commentator,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
minerva,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hagrid,5,6,4,0,0,0,0,0,1,0,0,0,0,0,0,1
neville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dean,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
students,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
wood,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
teams,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hooch,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
fred_george,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
snape,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
filch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seamus,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
