,harry,ron,hermione,dumbledore,filch,snape,fred_george,percy,minerva,hagrid,prince,draco,snape,students
harry,4,22,0,7,0,0,0,0,0,2,1,0,0,0
ron,30,0,2,0,0,0,1,0,0,2,0,0,0,0
hermione,2,3,0,0,0,0,0,0,0,2,0,0,0,0
dumbledore,10,0,0,0,0,0,0,0,0,0,0,0,0,
filch,0,0,0,0,0,1,0,0,0,0,0,0,0,0
snape,0,2,0,0,1,0,0,0,0,1,0,0,0,0
fred_george,3,5,0,0,0,0,0,2,0,0,0,0,0,0
percy,1,1,0,0,0,0,2,0,0,0,0,0,0,0
minerva,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hagrid,4,4,4,0,0,1,0,0,0,0,0,0,1,0
prince,2,0,0,0,0,0,0,0,0,0,0,0,0,0
draco,0,1,0,0,0,0,0,0,0,0,0,0,0,1
snape,0,2,0,0,0,0,0,0,0,1,0,0,0,0
students,0,0,0,,0,0,0,0,0,0,0,0,0,0
