,harry,ron,hermione,draco,neville,hagrid,firenze,ronan,bane,minerva,wood,students,filch
harry,0,6,6,1,0,4,6,1,0,2,0,0,0
ron,8,0,2,0,0,0,0,0,0,0,0,0,0
hermione,5,2,0,0,0,3,0,1,0,1,0,0,0
draco,0,0,0,0,0,4,0,0,0,0,0,0,1
neville,1,0,0,0,0,0,0,0,0,0,0,0,0
hagrid,15,0,14,9,6,0,0,7,3,0,0,0,2
firenze,8,0,0,0,0,0,0,0,2,0,0,0,0
ronan,2,0,2,0,0,4,0,1,1,0,0,0,0
bane,0,0,0,0,0,2,3,1,0,0,0,0,0
minerva,9,0,7,0,5,0,0,0,0,0,0,0,0
wood,1,0,0,0,0,0,0,0,0,0,0,0,0
students,1,0,0,0,0,0,0,0,0,0,0,0,0
filch,3,0,2,3,2,2,0,0,0,0,0,0,0
