,harry,ron,hermione,fred_george,neville,portraits,filch,norris,students,minerva,draco,hooch,parvati,pansy,flitwick,wood,peeves,school,spells,
harry,1,12,7,0,7,1,0,0,0,1,5,0,0,0,0,0,2,0,0,
ron,11,1,12,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
hermione,12,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
fred_george,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
neville,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
portraits,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filch,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
students,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minerva,10,1,0,0,0,0,0,0,1,0,0,0,1,0,1,6,1,0,0,
draco,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,
hooch,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
parvati,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
pansy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
flitwick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
wood,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
peeves,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,
school,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,
spells,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
