,harry,ron,hermione,portraits,minerva,dumbledore,quirrell,percy,wood,flitwick,students,malfoy,spells
harry,1,100,23,2,0,0,0,0,77,15,0,0,0
ron,97,2,19,2,0,0,0,0,0,0,0,34,2
hermione,13,16,0,0,77,0,0,0,0,0,0,0,2
portraits,0,0,0,0,0,0,0,0,0,0,0,0,0
minerva,53,53,60,0,0,0,0,0,0,0,0,0,0
dumbledore,0,0,0,0,0,0,0,0,0,0,9,0,0
quirrell,0,0,0,0,0,9,0,0,0,0,0,0,0
percy,0,0,0,0,0,0,0,0,0,0,32,0,0
wood,456,0,0,0,0,0,0,0,0,0,0,0,0
flitwick,20,5,3,0,0,0,0,0,0,0,54,9,0
students,0,0,0,0,0,0,0,0,0,0,0,0,0
malfoy,15,26,0,0,0,0,0,0,0,5,0,0,0
spells,0,0,0,0,0,0,0,0,0,0,0,0,0
