,harry,ron,hermione,commentator,minerva,hagrid,neville,dean,students,wood,teams,hooch,fred_george,snape,filch,seamus
harry,0,59,58,0,0,48,0,0,4,0,0,0,0,10,0,2
ron,25,3,35,0,0,30,4,11,0,0,0,0,0,0,0,0
hermione,33,19,0,0,0,38,0,0,0,0,0,0,0,0,0,0
commentator,0,0,0,0,2,0,0,0,299,0,0,0,0,0,0,0
minerva,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
hagrid,84,102,101,0,0,0,0,0,5,0,0,0,0,0,0,21
neville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dean,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0
students,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
wood,22,0,0,0,0,0,0,0,0,0,31,0,4,0,0,0
teams,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0
hooch,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
fred_george,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
snape,28,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
filch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seamus,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
