,harry,ron,hermione,dumbledore,filch,snape,fred_george,percy,minerva,hagrid,prince,draco,students
harry,13,159,0,51,0,0,0,0,0,55,1,0,0
ron,340,0,22,0,0,0,3,0,0,13,0,0,0
hermione,37,43,0,0,0,0,0,0,0,13,0,0,0
dumbledore,296,0,0,0,0,0,0,0,0,0,0,0,0
filch,0,0,0,0,0,24,0,0,0,0,0,0,0
snape,0,17,0,0,11,0,0,0,0,11,0,0,0
fred_george,26,67,0,0,0,0,0,31,0,0,0,0,0
percy,4,4,0,0,0,0,7,0,0,0,0,0,0
minerva,0,0,0,0,0,0,0,0,0,13,0,0,0
hagrid,49,52,56,0,0,10,0,0,0,0,0,0,0
prince,14,0,0,0,0,0,0,0,0,0,0,0,0
draco,0,43,0,0,0,0,0,0,0,0,0,0,23
students,0,0,0,0,0,0,0,0,0,0,0,0,0
