,harry,ron,hermione,draco,neville,hagrid,firenze,ronan,bane,minerva,wood,students,filch
harry,0,231,234,1,0,25,66,1,0,3,0,0,0
ron,98,0,45,0,0,0,0,0,0,0,0,0,0
hermione,87,26,0,0,0,18,0,1,0,2,0,0,0
draco,0,0,0,0,0,47,0,0,0,0,0,0,19
neville,26,0,0,0,0,0,0,0,0,0,0,0,0
hagrid,390,0,384,309,238,0,0,92,48,0,0,0,36
firenze,228,0,0,0,0,0,0,0,63,0,0,0,0
ronan,18,0,18,0,0,40,0,4,10,0,0,0,0
bane,0,0,0,0,0,12,85,34,0,0,0,0,0
minerva,190,0,162,0,70,0,0,0,0,0,0,0,0
wood,20,0,0,0,0,0,0,0,0,0,0,0,0
students,6,0,0,0,0,0,0,0,0,0,0,0,0
filch,129,0,86,103,86,25,0,0,0,0,0,0,0
