,harry,ron,hermione,quirrell,voldemort,dumbledore,students,pomfrey,hagrid,mrs_weasley,ginny,vernon
harry,0,165,150,77,2,215,0,37,55,10,0,0
ron,106,0,15,0,0,0,0,0,0,0,0,0
hermione,89,15,0,0,0,0,0,0,0,0,0,0
quirrell,572,0,0,13,27,0,0,0,0,0,0,0
voldemort,152,0,0,37,0,0,0,0,0,0,0,0
dumbledore,923,0,0,0,0,0,239,0,0,0,0,0
students,5,0,0,0,0,0,13,0,0,0,0,0
pomfrey,29,7,7,0,0,0,0,0,0,0,0,0
hagrid,119,0,0,0,0,0,0,0,0,0,0,0
mrs_weasley,7,0,0,0,0,0,0,0,0,0,8,5
ginny,0,0,0,0,0,0,0,0,0,15,0,0
vernon,15,0,0,0,0,0,0,0,0,0,0,0
