,harry,ron,hermione,fred_george,neville,portraits,filch,norris,students,minerva,draco,hooch,parvati,pansy,flitwick,wood,peeves,school,spells
harry,1,89,44,0,41,7,0,0,0,2,46,0,0,0,0,0,18,0,0
ron,194,2,114,0,70,0,0,0,0,2,9,0,0,0,0,0,5,0,0
hermione,199,174,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fred_george,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neville,47,22,22,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0
portraits,7,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filch,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,22,0,0
norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
students,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minerva,76,4,0,0,0,0,0,0,3,0,0,0,4,0,10,84,2,0,0
draco,83,14,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0
hooch,0,0,0,0,17,0,0,0,94,0,0,0,0,0,0,0,0,0,0
parvati,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
pansy,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
flitwick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wood,6,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
peeves,26,14,14,0,14,0,22,0,0,0,0,0,0,0,0,0,0,12,0
school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
